,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group
0,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,1.4224686139746634,1.4224686139746634,0.0,0.0,0.1903621993127714,KubeletOnly
1,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,1.907756267492368,1.907756267492368,0.0,0.0,0.3601933583512239,KubeletOnly
2,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,5.14403339060699,5.14403339060699,0.0,0.0,0.2837349942726011,BPFIRQ
3,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,6.065160458983473,6.065160458983473,0.0,0.0,0.3410763425504829,KubeletOnly
4,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,10.737190670165813,10.737190670165813,0.0,0.0,0.4276440514720457,BPFIRQ
5,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",['poly_scaler.pkl'],AbsPower,10.92192005070264,10.92192005070264,0.0,0.0,0.9819517575900152,KubeletOnly
6,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,11.355443672983377,11.355443672983377,0.0,0.0,1.1156782767266349,KubeletOnly
7,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,14.264069441729657,14.264069441729657,0.0,0.0,0.8160467591819939,BPFOnly
8,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,14.728180412371112,14.728180412371112,0.0,0.0,0.4840725085910965,CgroupOnly
9,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,14.893898989967989,14.893898989967989,0.0,0.0,0.9401296267932518,KubeletOnly
10,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,18.678170962199275,18.678170962199275,0.0,0.0,0.9140698167238448,BPFOnly
11,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,20.093644933271158,20.093644933271158,0.0,0.0,0.67294614940566,CgroupOnly
12,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",['poly_scaler.pkl'],AbsPower,21.00171747820279,21.00171747820279,0.0,0.0,0.9282491602655722,BPFIRQ
13,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,22.308407472683296,22.308407472683296,0.0,0.0,1.067287035818208,BPFOnly
14,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,23.457202018506607,23.457202018506607,0.0,0.0,1.215912562046563,BPFIRQ
15,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",['poly_scaler.pkl'],AbsPower,23.988642136326128,23.988642136326128,0.0,0.0,0.8548591788988888,CgroupOnly
16,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,24.268794182807856,24.268794182807856,0.0,0.0,0.587530200708052,CgroupOnly
17,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,24.935445844010403,24.935445844010403,0.0,0.0,1.1323999770596975,BPFIRQ
18,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,26.51719544762105,26.51719544762105,0.0,0.0,1.0007564743059016,CgroupOnly
19,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us']",[],AbsPower,26.55404439265986,26.55404439265986,0.0,0.0,0.9503589308616666,CgroupOnly
20,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,27.356922198970967,27.356922198970967,0.0,0.0,0.6598805942021719,BPFIRQ
21,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,27.46342421407327,27.46342421407327,0.0,0.0,1.1393052655090752,BPFOnly
22,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,['bpf_cpu_time_us'],['poly_scaler.pkl'],AbsPower,29.19814954800647,29.19814954800647,0.0,0.0,1.07842536232554,BPFOnly
23,3,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,29.9922255676422,29.9922255676422,0.0,0.0,1.142798538042762,BPFOnly
