,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,package_mae,core_mae,uncore_mae,dram_mae,feature_group,power_range,mae_threshold
0,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,15.99800115558892,15.99800115558892,0.0,0.0,3.168892750073005,Basic,791.9900000002235,158.3980000000447
1,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,16.732079001030332,16.732079001030332,0.0,0.0,3.1305632008177824,CounterOnly,791.9900000002235,158.3980000000447
2,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,17.985282364935127,17.985282364935127,0.0,0.0,3.1339266055054043,Basic,791.9900000002235,158.3980000000447
3,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,20.628284250168413,20.628284250168413,0.0,0.0,3.1965662863019024,CounterOnly,791.9900000002235,158.3980000000447
4,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,21.7899629458958,21.7899629458958,0.0,0.0,3.41143447391084,CounterIRQCombined,791.9900000002235,158.3980000000447
5,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,22.186114169213973,22.186114169213973,0.0,0.0,3.589647808357436,CounterIRQCombined,791.9900000002235,158.3980000000447
6,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,24.41605453618801,24.41605453618801,0.0,0.0,6.097482670745023,BPFOnly,791.9900000002235,158.3980000000447
7,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,25.06078377293503,25.06078377293503,0.0,0.0,6.379994554998492,BPFIRQ,791.9900000002235,158.3980000000447
8,4,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,25.310514498113047,25.310514498113047,0.0,0.0,6.753388982737859,BPFOnly,791.9900000002235,158.3980000000447
9,2,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,27.32908613658987,27.32908613658987,0.0,0.0,7.331559633027066,BPFIRQ,791.9900000002235,158.3980000000447
10,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],AbsPower,45.01087665940764,45.01087665940764,0.0,0.0,4.7009065361421465,CounterOnly,791.9900000002235,158.3980000000447
11,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",['poly_scaler.pkl'],AbsPower,45.91917469180407,45.91917469180407,0.0,0.0,16.029662802251863,BPFIRQ,791.9900000002235,158.3980000000447
12,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,['bpf_cpu_time_us'],['poly_scaler.pkl'],AbsPower,48.56051792230399,48.56051792230399,0.0,0.0,21.129080296064554,BPFOnly,791.9900000002235,158.3980000000447
13,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,['bpf_cpu_time_us'],[],AbsPower,51.07470038979309,51.07470038979309,0.0,0.0,14.15759082426482,BPFOnly,791.9900000002235,158.3980000000447
14,5,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",['poly_scaler.pkl'],AbsPower,51.53283471799012,51.53283471799012,0.0,0.0,5.860841237672704,CounterIRQCombined,791.9900000002235,158.3980000000447
15,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,61.535857566747566,61.535857566747566,0.0,0.0,5.561465959063384,CounterOnly,791.9900000002235,158.3980000000447
16,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq']",[],AbsPower,66.42750456523571,66.42750456523571,0.0,0.0,12.520845371416245,BPFIRQ,791.9900000002235,158.3980000000447
17,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_cpu_time_us', 'cache_miss', 'cgroupfs_cpu_usage_us', 'cgroupfs_memory_usage_bytes', 'cgroupfs_system_cpu_usage_us', 'cgroupfs_user_cpu_usage_us', 'cpu_cycles', 'cpu_instructions', 'kubelet_cpu_usage', 'kubelet_memory_bytes']",[],AbsPower,73.44327542029176,73.44327542029176,0.0,0.0,6.827908642402747,Basic,791.9900000002235,158.3980000000447
18,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'cache_miss', 'cpu_cycles', 'cpu_instructions']",[],AbsPower,77.72364567165074,77.72364567165074,0.0,0.0,4.677440049185152,CounterIRQCombined,791.9900000002235,158.3980000000447
