,Unnamed: 0,model_name,model_class,model_file,features,fe_files,output_type,mae,mape,platform_mae,platform_mape,feature_group,power_range,mae_threshold
0,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,14.01877279019137,5.155612961652817,14.01877279019137,5.155612961652817,BPFIRQ,201.0,40.2
1,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,16.06710290415698,5.810103183822231,16.06710290415698,5.810103183822231,BPFIRQ,201.0,40.2
2,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,20.17737003058104,7.291352272720571,20.17737003058104,7.291352272720571,BPFIRQ,201.0,40.2
3,6,PolynomialRegressionTrainer_1,scikit,PolynomialRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",['poly_scaler.pkl'],AbsPower,23.40647238747199,8.186799222490736,23.40647238747199,8.186799222490736,BPFIRQ,201.0,40.2
4,1,SVRRegressorTrainer_1,scikit,SVRRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,24.28007948143833,8.274732922912484,24.28007948143833,8.274732922912484,BPFIRQ,201.0,40.2
5,4,LinearRegressionTrainer_1,scikit,LinearRegressionTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,25.73845481029619,9.53550227057044,25.73845481029619,9.53550227057044,BPFIRQ,201.0,40.2
6,0,SGDRegressorTrainer_1,scikit,SGDRegressorTrainer_1.json,"['bpf_block_irq', 'bpf_cpu_time_us', 'bpf_net_rx_irq', 'bpf_net_tx_irq', 'bpf_page_cache_hit']",[],AbsPower,27.6299369548062,10.159745322603015,27.6299369548062,10.159745322603015,BPFIRQ,201.0,40.2
7,2,XgboostFitTrainer_1,xgboost,XgboostFitTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit']",[],AbsPower,13.557404124408688,4.936612902114223,13.557404124408688,4.936612902114223,BPFOnly,201.0,40.2
8,5,GradientBoostingRegressorTrainer_1,scikit,GradientBoostingRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit']",[],AbsPower,15.87508285755701,5.647576637396798,15.87508285755701,5.647576637396798,BPFOnly,201.0,40.2
9,3,KNeighborsRegressorTrainer_1,scikit,KNeighborsRegressorTrainer_1.json,"['bpf_cpu_time_us', 'bpf_page_cache_hit']",[],AbsPower,16.629969418960243,5.674257716485845,16.629969418960243,5.674257716485845,BPFOnly,201.0,40.2
