,timestamp,cgroupfs_cpu_usage_us,cgroupfs_memory_usage_bytes,cgroupfs_system_cpu_usage_us,cgroupfs_user_cpu_usage_us,platform_power,node_type,id
0,1699526909,0.0,0.0,0.0,0.0,23.0,1.0,all containers
1,1699526912,350052.0,614400.0,155496.0,194556.0,15.0,1.0,all containers
2,1699526915,0.0,0.0,0.0,0.0,9.0,1.0,all containers
3,1699526918,0.0,0.0,0.0,0.0,3.0,1.0,all containers
4,1699526921,0.0,0.0,0.0,0.0,4.0,1.0,all containers
5,1699526924,66636.0,0.0,3684.0,62952.0,0.0,1.0,all containers
6,1699526927,160488.0,0.0,41262.0,119226.0,4.0,1.0,all containers
7,1699526930,0.0,0.0,0.0,0.0,2.0,1.0,all containers
8,1699526933,0.0,0.0,0.0,0.0,2.0,1.0,all containers
9,1699526936,0.0,0.0,0.0,0.0,3.0,1.0,all containers
10,1699526939,0.0,0.0,0.0,0.0,2.0,1.0,all containers
11,1699526942,65526.0,0.0,47886.0,17640.0,2.0,1.0,all containers
12,1699526945,13493672.0,3988138.6666666665,3035112.333333333,10458559.666666666,1.0,1.0,all containers
13,1699526948,0.0,0.0,0.0,0.0,2.0,1.0,all containers
14,1699526951,0.0,0.0,0.0,0.0,1.0,1.0,all containers
15,1699526954,33269.0,139264.0,2136.3333333333335,31127.0,3.0,1.0,all containers
16,1699526957,13663130.333333334,4487850.666666667,3064469.3333333335,10598660.666666668,30.0,1.0,all containers
17,1699526960,18753.0,0.0,0.0,18753.0,34.0,1.0,all containers
18,1699526963,0.0,0.0,0.0,0.0,27.0,1.0,all containers
19,1699526966,0.0,0.0,0.0,0.0,43.0,1.0,all containers
20,1699526969,0.0,0.0,0.0,0.0,34.0,1.0,all containers
21,1699526972,0.0,0.0,0.0,0.0,33.0,1.0,all containers
22,1699526975,0.0,0.0,0.0,0.0,38.0,1.0,all containers
23,1699526978,0.0,0.0,0.0,0.0,35.0,1.0,all containers
24,1699526981,0.0,0.0,0.0,0.0,32.0,1.0,all containers
25,1699526984,0.0,0.0,0.0,0.0,39.0,1.0,all containers
26,1699526987,206124.0,172032.0,0.0,206130.0,20.0,1.0,all containers
27,1699526990,8724.0,172032.0,1698.0,7026.0,4.0,1.0,all containers
28,1699526993,0.0,0.0,0.0,0.0,0.0,1.0,all containers
29,1699526996,0.0,0.0,0.0,0.0,1.0,1.0,all containers
30,1699526999,385716.0,638976.0,127362.0,258348.0,4.0,1.0,all containers
31,1699527002,0.0,0.0,0.0,0.0,43.0,1.0,all containers
32,1699527005,0.0,0.0,0.0,0.0,43.0,1.0,all containers
33,1699527008,0.0,0.0,0.0,0.0,41.0,1.0,all containers
34,1699527011,0.0,0.0,0.0,0.0,41.0,1.0,all containers
35,1699527014,0.0,0.0,0.0,0.0,45.0,1.0,all containers
36,1699527017,0.0,0.0,0.0,0.0,42.0,1.0,all containers
37,1699527020,17088.0,0.0,0.0,17088.0,45.0,1.0,all containers
38,1699527023,0.0,0.0,0.0,0.0,43.0,1.0,all containers
39,1699527026,0.0,0.0,0.0,0.0,43.0,1.0,all containers
40,1699527029,0.0,0.0,0.0,0.0,42.0,1.0,all containers
41,1699527032,194871.0,0.0,36436.66666666667,158440.0,9.0,1.0,all containers
42,1699527035,0.0,0.0,0.0,0.0,2.0,1.0,all containers
43,1699527038,0.0,0.0,0.0,0.0,3.0,1.0,all containers
44,1699527041,0.0,0.0,0.0,0.0,3.0,1.0,all containers
45,1699527044,321402.0,533845.3333333334,102872.66666666666,218529.3333333333,8.0,1.0,all containers
46,1699527047,0.0,0.0,0.0,0.0,23.0,1.0,all containers
47,1699527050,0.0,0.0,0.0,0.0,27.0,1.0,all containers
48,1699527053,0.0,0.0,0.0,0.0,25.0,1.0,all containers
49,1699527056,0.0,0.0,0.0,0.0,35.0,1.0,all containers
50,1699527059,0.0,0.0,0.0,0.0,27.0,1.0,all containers
51,1699527062,0.0,0.0,0.0,0.0,28.0,1.0,all containers
52,1699527065,0.0,0.0,0.0,0.0,32.0,1.0,all containers
53,1699527068,0.0,0.0,0.0,0.0,26.0,1.0,all containers
54,1699527071,0.0,0.0,0.0,0.0,31.0,1.0,all containers
55,1699527074,67070.0,0.0,0.0,67070.0,28.0,1.0,all containers
56,1699527077,142452.0,0.0,76320.0,66132.0,0.0,1.0,all containers
57,1699527080,13638.0,0.0,13638.0,0.0,5.0,1.0,all containers
58,1699527083,0.0,0.0,0.0,0.0,3.0,1.0,all containers
59,1699527086,0.0,0.0,0.0,0.0,1.0,1.0,all containers
60,1699527089,342546.0,614400.0,82188.0,260352.0,18.0,1.0,all containers
61,1699527092,0.0,0.0,0.0,0.0,36.0,1.0,all containers
62,1699527095,0.0,0.0,0.0,0.0,33.0,1.0,all containers
63,1699527098,0.0,0.0,0.0,0.0,33.0,1.0,all containers
64,1699527101,0.0,0.0,0.0,0.0,36.0,1.0,all containers
65,1699527104,0.0,0.0,0.0,0.0,35.0,1.0,all containers
66,1699527107,0.0,0.0,0.0,0.0,36.0,1.0,all containers
67,1699527110,0.0,0.0,0.0,0.0,33.0,1.0,all containers
68,1699527113,0.0,0.0,0.0,0.0,34.0,1.0,all containers
69,1699527116,0.0,0.0,0.0,0.0,34.0,1.0,all containers
70,1699527119,63073.666666666664,0.0,34523.0,28550.666666666668,32.0,1.0,all containers
71,1699527122,164318.33333333334,0.0,1330.0,162988.33333333334,4.0,1.0,all containers
72,1699527125,1121.0,0.0,253.33333333333334,874.0,4.0,1.0,all containers
